Gene	RNA blood cell specificity	RNA cancer specificity
SERINC2	Cell type enriched	Low cancer specificity
MYL1	Not detected	Group enriched
TRAPPC11	Low cell type specificity	Low cancer specificity
CHRM1	Not detected	Cancer enriched
COL3A1	Not detected	Low cancer specificity
GFRA2	Cell type enhanced	Cancer enriched
ING2	Low cell type specificity	Low cancer specificity
CDKN2AIP	Low cell type specificity	Low cancer specificity
SNRNP48	Low cell type specificity	Low cancer specificity
TMEM223	Low cell type specificity	Low cancer specificity
SLC20A2	Low cell type specificity	Low cancer specificity
CRYGA	Not detected	Not detected
DYNLRB2	Low cell type specificity	Low cancer specificity
TMUB2	Low cell type specificity	Low cancer specificity
ADAM29	Group enriched	Not detected
STAT3	Low cell type specificity	Low cancer specificity
ZSWIM1	Low cell type specificity	Low cancer specificity
ADAM9	Cell type enhanced	Low cancer specificity
ADAM18	Not detected	Not detected
GDNF	Low cell type specificity	Low cancer specificity
DPCR1	Not detected	Group enriched
WFDC13	Cell type enriched	Not detected
AXIN2	Cell type enhanced	Cancer enhanced
NDUFS5	Low cell type specificity	Low cancer specificity
VWA3B	Not detected	Cancer enhanced
ZNF30	Low cell type specificity	Low cancer specificity
UGT3A2	Not detected	Cancer enriched
FAM84B	Low cell type specificity	Low cancer specificity
LDLRAD4	Low cell type specificity	Low cancer specificity
KCTD19	Group enriched	Not detected
SLC16A4	Cell type enhanced	Cancer enhanced
IL7R	Group enriched	Low cancer specificity
TMEM208	Low cell type specificity	Low cancer specificity
LRP1B	Group enriched	Cancer enhanced
WFDC12	Low cell type specificity	Group enriched
AHCYL1	Low cell type specificity	Low cancer specificity
DNAJC21	Low cell type specificity	Low cancer specificity
PKIG	Group enriched	Low cancer specificity
NPNT	Not detected	Cancer enhanced
CA7	Not detected	Cancer enhanced
FAM178B	Cell type enhanced	Cancer enriched
TSPY2	Not detected	Cancer enriched
SEMA4C	Low cell type specificity	Low cancer specificity
CNNM3	Low cell type specificity	Low cancer specificity
GSTM4	Cell type enriched	Low cancer specificity
TET2	Cell type enhanced	Low cancer specificity
CXXC4	Cell type enhanced	Low cancer specificity
TCTN2	Low cell type specificity	Low cancer specificity
SHOX2	Cell type enriched	Low cancer specificity
PPIP5K1	Low cell type specificity	Low cancer specificity
TSPAN5	Low cell type specificity	Low cancer specificity
ABHD15	Group enriched	Low cancer specificity
ZBTB5	Low cell type specificity	Low cancer specificity
CHTF8	Low cell type specificity	Low cancer specificity
ADAL	Low cell type specificity	Low cancer specificity
LCMT2	Low cell type specificity	Low cancer specificity
SNTB2	Low cell type specificity	Low cancer specificity
IL12A	Cell type enhanced	Low cancer specificity
ZNF507	Low cell type specificity	Low cancer specificity
STX18	Low cell type specificity	Cancer enhanced
NSG1	Cell type enhanced	Cancer enhanced
ZBTB49	Low cell type specificity	Low cancer specificity
GFM1	Low cell type specificity	Low cancer specificity
OR13J1	Not detected	Not detected
HTR1E	Not detected	Not detected
FSTL5	Not detected	Cancer enriched
DDX19A	Low cell type specificity	Low cancer specificity
ATOH8	Group enriched	Cancer enhanced
SOX14	Not detected	Cancer enhanced
ANKRD49	Low cell type specificity	Low cancer specificity
SFTPB	Low cell type specificity	Group enriched
USP39	Low cell type specificity	Low cancer specificity
TNIP2	Low cell type specificity	Low cancer specificity
C2orf68	Low cell type specificity	Low cancer specificity
TMEM150A	Low cell type specificity	Low cancer specificity
RNF181	Low cell type specificity	Low cancer specificity
VAMP5	Low cell type specificity	Low cancer specificity
BTNL3	Cell type enriched	Group enriched
LRRC28	Low cell type specificity	Low cancer specificity
MAT2A	Low cell type specificity	Low cancer specificity
PLA2G4F	Not detected	Low cancer specificity
ENHO	Cell type enriched	Cancer enhanced
ZNF608	Cell type enhanced	Low cancer specificity
SLC35G2	Group enriched	Low cancer specificity
INPP5D	Low cell type specificity	Low cancer specificity
LETM1	Low cell type specificity	Low cancer specificity
CTRB1	Not detected	Cancer enriched
CTRB2	Not detected	Cancer enriched
TRIM49	Cell type enriched	Not detected
TMEM129	Low cell type specificity	Low cancer specificity
PPIC	Cell type enhanced	Low cancer specificity
SPRY3	Not detected	Low cancer specificity
CEP120	Low cell type specificity	Low cancer specificity
STXBP6	Cell type enhanced	Low cancer specificity
TM4SF20	Low cell type specificity	Group enriched
MFF	Low cell type specificity	Low cancer specificity
GRM5	Cell type enhanced	Not detected
LGALS9	Low cell type specificity	Low cancer specificity
JMJD7.PLA2G4B	Cell type enhanced	Low cancer specificity
CPLX1	Cell type enhanced	Low cancer specificity
PXDC1	Cell type enriched	Low cancer specificity
SIGLEC7	Cell type enhanced	Low cancer specificity
NTSR2	Not detected	Cancer enriched
E2F6	Cell type enriched	Low cancer specificity
FEM1B	Low cell type specificity	Low cancer specificity
COMMD8	Low cell type specificity	Low cancer specificity
ATP5ME	Low cell type specificity	Low cancer specificity
UQCRFS1	Low cell type specificity	Low cancer specificity
SLC49A3	Cell type enhanced	Low cancer specificity
COL4A3	Group enriched	Group enriched
MAP2K1	Low cell type specificity	Low cancer specificity
KLK7	Low cell type specificity	Cancer enhanced
HNRNPH1	Low cell type specificity	Low cancer specificity
IRS1	Cell type enhanced	Low cancer specificity
MECP2	Low cell type specificity	Low cancer specificity
VCX3A	Not detected	Low cancer specificity
UPF3A	Low cell type specificity	Low cancer specificity
ZBBX	Not detected	Cancer enhanced
ACTBL2	Not detected	Not detected
ROR2	Cell type enriched	Low cancer specificity
AR	Cell type enriched	Low cancer specificity
DHRSX	Low cell type specificity	Low cancer specificity
C8orf46	Not detected	Cancer enriched
HSPBAP1	Low cell type specificity	Low cancer specificity
ASMTL	Low cell type specificity	Low cancer specificity
SLC25A6	Low cell type specificity	Low cancer specificity
CHST14	Low cell type specificity	Low cancer specificity
PARM1	Group enriched	Low cancer specificity
CSNK1G1	Low cell type specificity	Low cancer specificity
FAM110B	Group enriched	Low cancer specificity
ARMC4	Not detected	Low cancer specificity
AFAP1L2	Low cell type specificity	Cancer enhanced
ZNF354A	Low cell type specificity	Low cancer specificity
ATF5	Group enriched	Cancer enriched
UBE2V2	Low cell type specificity	Low cancer specificity
GOT1L1	Not detected	Not detected
ZBTB43	Low cell type specificity	Low cancer specificity
CPT1C	Not detected	Cancer enhanced
PCSK9	Not detected	Low cancer specificity
XPO6	Cell type enriched	Low cancer specificity
GSG1L	Cell type enriched	Cancer enriched
MN1	Cell type enriched	Low cancer specificity
APEX2	Low cell type specificity	Low cancer specificity
NSMCE1	Low cell type specificity	Low cancer specificity
CCDC126	Cell type enriched	Low cancer specificity
IL13	Not detected	Not detected
NPIPB12	Low cell type specificity	Not detected
OR10G3	Cell type enhanced	Not detected
RAB3B	Low cell type specificity	Group enriched
OR6F1	Not detected	Not detected
CD2BP2	Low cell type specificity	Low cancer specificity
RSPO1	Not detected	Cancer enriched
RGS14	Low cell type specificity	Low cancer specificity
TBC1D10B	Low cell type specificity	Low cancer specificity
LMAN2	Low cell type specificity	Low cancer specificity
GCSAML	Cell type enriched	Cancer enriched
RAB24	Low cell type specificity	Low cancer specificity
PRELID1	Low cell type specificity	Low cancer specificity
THBS3	Low cell type specificity	Low cancer specificity
CA5B	Low cell type specificity	Low cancer specificity
SLC50A1	Low cell type specificity	Low cancer specificity
EFNA1	Group enriched	Low cancer specificity
CXCL10	Group enriched	Low cancer specificity
NPIPB3	Low cell type specificity	Low cancer specificity
SH3TC2	Not detected	Low cancer specificity
CXCL11	Cell type enhanced	Low cancer specificity
ZRSR2	Low cell type specificity	Low cancer specificity
NMD3	Low cell type specificity	Low cancer specificity
ADRB2	Low cell type specificity	Low cancer specificity
B3GALNT1	Group enriched	Low cancer specificity
GPRIN1	Not detected	Low cancer specificity
HSPB3	Not detected	Cancer enriched
KCNAB1	Low cell type specificity	Cancer enhanced
MRPL1	Low cell type specificity	Low cancer specificity
SHE	Low cell type specificity	Cancer enhanced
NR0B1	Not detected	Cancer enhanced
PGM2	Low cell type specificity	Low cancer specificity
STK32A	Cell type enriched	Cancer enhanced
IL1RAPL1	Not detected	Not detected
P2RY12	Cell type enhanced	Cancer enriched
C22orf15	Cell type enhanced	Cancer enhanced
OR5AU1	Low cell type specificity	Not detected
KIAA1024	Group enriched	Low cancer specificity
PDILT	Cell type enhanced	Not detected
UMOD	Not detected	Cancer enriched
GP2	Low cell type specificity	Cancer enriched
SLC33A1	Low cell type specificity	Low cancer specificity
SNUPN	Low cell type specificity	Low cancer specificity
CRADD	Low cell type specificity	Low cancer specificity
SIN3A	Low cell type specificity	Low cancer specificity
ARL13B	Low cell type specificity	Low cancer specificity
RNASE2	Group enriched	Cancer enriched
ELSPBP1	Not detected	Cancer enhanced
RNASE3	Cell type enriched	Cancer enriched
PTK2	Low cell type specificity	Low cancer specificity
RSPH10B2	Not detected	Not detected
PTAFR	Group enriched	Low cancer specificity
PTPN9	Low cell type specificity	Low cancer specificity
RNASE6	Cell type enhanced	Low cancer specificity
NPR1	Not detected	Cancer enhanced
KCNK9	Not detected	Low cancer specificity
CXCL8	Cell type enriched	Low cancer specificity
SCN9A	Cell type enriched	Low cancer specificity
RASSF6	Cell type enriched	Low cancer specificity
COL22A1	Not detected	Low cancer specificity
SDC2	Cell type enriched	Low cancer specificity
CD52	Low cell type specificity	Low cancer specificity
MMGT1	Low cell type specificity	Low cancer specificity
SPRR1B	Not detected	Group enriched
SPRR1A	Not detected	Cancer enhanced
OR4K14	Not detected	Not detected
OR4K15	Not detected	Not detected
TM2D2	Low cell type specificity	Low cancer specificity
HTRA4	Low cell type specificity	Cancer enhanced
PLEKHA2	Low cell type specificity	Low cancer specificity
CLIC4	Cell type enhanced	Low cancer specificity
SLC38A11	Group enriched	Cancer enriched
GPR183	Low cell type specificity	Low cancer specificity
CRCT1	Not detected	Cancer enhanced
CCDC8	Cell type enriched	Low cancer specificity
METTL15	Low cell type specificity	Low cancer specificity
ZNF280A	Not detected	Cancer enhanced
MUC15	Not detected	Cancer enriched
CT55	Not detected	Not detected
ZEB2	Low cell type specificity	Low cancer specificity
GJB1	Not detected	Cancer enhanced
PCBP1	Low cell type specificity	Low cancer specificity
HINT1	Low cell type specificity	Low cancer specificity
DTWD2	Low cell type specificity	Low cancer specificity
VPREB1	Group enriched	Not detected
CLIC3	Cell type enriched	Cancer enhanced
INO80E	Low cell type specificity	Low cancer specificity
BNC1	Not detected	Cancer enhanced
DFFB	Low cell type specificity	Low cancer specificity
NFU1	Low cell type specificity	Low cancer specificity
ANTXR1	Not detected	Low cancer specificity
GKN1	Not detected	Cancer enriched
CKAP2L	Low cell type specificity	Low cancer specificity
C15orf40	Low cell type specificity	Low cancer specificity
FAM103A1	Low cell type specificity	Low cancer specificity
PROKR1	Cell type enhanced	Not detected
APLF	Cell type enhanced	Low cancer specificity
BOLA2B	Low cell type specificity	Low cancer specificity
RGPD8	Low cell type specificity	Not detected
HIC2	Low cell type specificity	Cancer enriched
LUZP1	Low cell type specificity	Low cancer specificity
HEXDC	Cell type enhanced	Low cancer specificity
DRD5	Not detected	Not detected
BUB1	Cell type enhanced	Low cancer specificity
SPNS1	Low cell type specificity	Low cancer specificity
LRRC45	Low cell type specificity	Low cancer specificity
CHRNA5	Low cell type specificity	Low cancer specificity
MT1B	Cell type enhanced	Cancer enriched
CENPX	Low cell type specificity	Low cancer specificity
AGPAT2	Low cell type specificity	Low cancer specificity
ASPSCR1	Low cell type specificity	Low cancer specificity
GP9	Group enriched	Not detected
FASN	Low cell type specificity	Low cancer specificity
CNBP	Low cell type specificity	Low cancer specificity
MT1E	Low cell type specificity	Low cancer specificity
ACTRT2	Not detected	Not detected
DUS1L	Low cell type specificity	Low cancer specificity
GPS1	Low cell type specificity	Low cancer specificity
RFNG	Low cell type specificity	Low cancer specificity
DCXR	Low cell type specificity	Cancer enhanced
ZNF32	Low cell type specificity	Low cancer specificity
LDB2	Cell type enriched	Low cancer specificity
RAC3	Cell type enhanced	Low cancer specificity
NRG4	Not detected	Low cancer specificity
LIMS1	Low cell type specificity	Low cancer specificity
TMEM266	Not detected	Cancer enhanced
NLGN1	Not detected	Group enriched
TAPT1	Cell type enhanced	Low cancer specificity
UGP2	Group enriched	Low cancer specificity
TAS2R1	Not detected	Not detected
LINGO1	Not detected	Low cancer specificity
PRY	Cell type enriched	Not detected
RBMY1F	Not detected	Not detected
PRY2	Cell type enhanced	Not detected
HNRNPF	Low cell type specificity	Low cancer specificity
BTD	Low cell type specificity	Low cancer specificity
CSGALNACT2	Low cell type specificity	Low cancer specificity
TACR3	Not detected	Not detected
GSX1	Not detected	Cancer enriched
PCDH7	Not detected	Low cancer specificity
ROBO1	Cell type enhanced	Low cancer specificity
ONECUT1	Not detected	Group enriched
AVEN	Cell type enhanced	Low cancer specificity
P2RY1	Group enriched	Low cancer specificity
CTNND2	Not detected	Cancer enriched
TRIM56	Low cell type specificity	Low cancer specificity
MUC17	Not detected	Group enriched
AHSP	Not detected	Not detected
WNT10B	Cell type enhanced	Low cancer specificity
CALML6	Cell type enhanced	Not detected
REPS2	Group enriched	Low cancer specificity
MUC3A	Not detected	Cancer enhanced
SYAP1	Low cell type specificity	Low cancer specificity
ITGAM	Group enriched	Low cancer specificity
PYDC1	Cell type enhanced	Cancer enriched
TPST1	Cell type enhanced	Low cancer specificity
TM4SF4	Cell type enhanced	Group enriched
TOR1AIP2	Low cell type specificity	Low cancer specificity
S100G	Cell type enhanced	Group enriched
TM4SF1	Not detected	Low cancer specificity
OTUD3	Low cell type specificity	Low cancer specificity
OTUD7A	Cell type enhanced	Low cancer specificity
GUSB	Low cell type specificity	Low cancer specificity
BRD3	Low cell type specificity	Low cancer specificity
KLF13	Low cell type specificity	Low cancer specificity
FRMPD4	Not detected	Not detected
ZFPM2	Not detected	Low cancer specificity
